,designation,company_name,Number_of_Employees,job_description,skills,Years_of_Experience,Category,company_class,Department
152,Software Developer I - AEM Developer (T500 - 7632),FedEx,1000,Function: Software Engineering → Full-Stack Development,"Java
Adobe Experience Manager (AEM)",3,Junior,Class1,Software Engineering
153,Frontend Staff / Lead Engineer,Flipkart,1000,Function: Software Engineering → Frontend Development,"React.js
JavaScript
HTML
CSS",12,Lead,Class1,Software Engineering
154,Big Data Engineer,Google,1000,"Function: Software Engineering → Backend Development, Big Data / DWH / ETL","Hadoop
PySpark
Python
Kafka
JavaScript",10,Lead,Class1,Software Engineering
155,Frontend Developer,Hub,200,Function: Software Engineering → Frontend Development,"JavaScript
React.js
Redux
React Native
Angular",5,Senior,Class2,Software Engineering
156,Principal Architect,PhysicsWallah,1000,Function: Software Engineering → Backend Development,"Java
Python
Node.js
Spring Boot
Golang",13,Lead,Class1,Software Engineering
157,SDE3 (DevOps Engineer),PhysicsWallah,1000,Function: IT Operations and Support → DevOps / Cloud,"Kubernetes
AWS
Terraform",8,Lead,Class1,IT Operations and Support
158,Cloud Security Engineer - DevOps Engineer,Trace One,200,"Function: IT Operations and Support → DevOps / Cloud, IT Security","Information Security
DevOps
PowerShell
AWS
CISSP",10,Lead,Class2,IT Operations and Support
159,User Engineer,XFlow,50,Function: IT Operations and Support → Solution Architecture / Presales,"Presales
Java
Technical Support",7,Senior,Class4,IT Operations and Support
160,HR Recruiter (Insurance),Aasaanjobs,500,Function: Human Resources → Talent Acquisition,"Recruitment
Employee Induction",2,Fresher,Class3,Human Resources
161,Presales Consultant,AppSecure Security,50,Function: Sales and Business → Sales / Business Development,"Presales
Information Security
Corporate Sales
International Sales",10,Lead,Class4,Sales and Business
162,Lead Software Engineer,DAZN,1000,Function: Software Engineering → Full-Stack Development,"React.js
Node.js",9,Lead,Class1,Software Engineering
163,Chartered Accountant,Dibber,1000,Function: Operations → Accounting / Finance,"Accounting
Chartered Accountant
Finance",10,Lead,Class1,Operations
164,Asst Vice President - Business Process Engineering,HDFC ERGO,1000,Function: Technical Management → Project Management,"Business Process Management (BPM)
SOP
Project Management
Process Improvement",12,Lead,Class1,Technical Management
165,VP - Engineer,Proxgy,50,"Function: Technical Management → Engineering Management, Product Management","ASP.NET
AWS
.NET
Angular",15,Lead,Class4,Technical Management
166,Java Developer (Backend - Cloud Connected Services),Stellantis,1000,"Function: Software Engineering → Backend Development, DevOps / Cloud","Java
Microservices
AWS
AWS Lambda
SQL",9,Lead,Class1,Software Engineering
167,Python Developer (Backend - Cloud Connected Services),Stellantis,1000,"Function: Software Engineering → Backend Development, DevOps / Cloud","Python
Microservices
AWS
AWS Lambda
Amazon DynamoDB",9,Lead,Class1,Software Engineering
168,Software Engineer,Stellantis,1000,Function: Software Engineering → Other Software Development,"Embedded C
Java
C
C++",9,Lead,Class1,Software Engineering
169,Machine Learning Engineer 2,Tekion,200,Function: Data Science and Analysis → Data Science / Machine Learning,"Machine Learning
NLP
TensorFlow
Python
SQL",9,Lead,Class2,Data Science and Analysis
170,Business Development Manager,Aasaanjobs,500,Function: Marketing → PR / Communications,"Public Relations
Corporate Communication",6,Senior,Class3,Marketing
171,Executive Sales Manager / BDM,Bajaj Allianz General Insurance,1000,Function: Sales and Business → Sales / Business Development,"Sales
Business Development
Direct Sales
Corporate Sales
International Sales",6,Senior,Class1,Sales and Business
172,Technical Data Analyst [T500 - 5120,Inspire Brands,1000,Function: Data Science and Analysis → Data Analysis / Business Intelligence,Data Warehousing,6,Senior,Class1,Data Science and Analysis
173,Technical Data Analyst [T500 - 6031,Inspire Brands,1000,Function: Data Science and Analysis → Data Analysis / Business Intelligence,Data Warehousing,6,Senior,Class1,Data Science and Analysis
174,Solution Architect,NexTurn,200,Function: IT Operations and Support → Solution Architecture / Presales,".NET
Angular
AWS
Jenkins
Solution Architecture",19,Specialist,Class2,IT Operations and Support
175,SD - WAN Engineer - L3,NTT,1000,Function: Software Engineering → Other Software Development,SD-WAN,12,Lead,Class1,Software Engineering
176,Quality Analyst,PayU,1000,Function: Software Engineering → QA / SDET,"Appium
Selenium
JMeter",8,Lead,Class1,Software Engineering
177,SDE - 3,StepChange,50,Function: Software Engineering → Backend Development,"Java
Spring Boot
MySQL
JavaScript
Data Structures",10,Lead,Class4,Software Engineering
178,Business Development Manager,The Famous,10,"Function: IT Operations and Support → IT Management / IT Support, Other Software Development, Sales / Business Development","Sales
Lead Generation
IT Infrastructure",4,Junior,Class4,IT Operations and Support
179,Full Stack Engineer,The Famous,10,"Function: IT Operations and Support → DevOps / Cloud, Full-Stack Development, Mobile Development","JavaScript
AWS
CI - CD
DevOps
React.js",8,Lead,Class4,IT Operations and Support
180,Admission Counsellor,Able Jobs,50,Function: Sales and Business → Sales / Business Development,"Education Counselling
Counselling
Business Development",3,Junior,Class4,Sales and Business
181,Software Developer Advisor - Android (T500 - 7686),FedEx,1000,Function: Software Engineering → Mobile Development,"Android
Java",12,Lead,Class1,Software Engineering
182,Software Developer Advisor - iOS [T500 - 7688,FedEx,1000,Function: Software Engineering → Mobile Development,"iOS
Swift",12,Lead,Class1,Software Engineering
183,Software Engineer,HTC Global Services,1000,Function: Software Engineering → Backend Development,.NET,10,Lead,Class1,Software Engineering
184,Senior Analyst - DevOps Engineer,Nab,1000,Function: IT Operations and Support → DevOps / Cloud,"SailPoint
DevOps
AWS
Identity Access Management (IAM)
Jenkins",10,Lead,Class1,IT Operations and Support
185,Solution Architect,NexTurn,200,"Function: Software Engineering → Other Software Development, Solution Architecture / Presales",".NET
Angular
AWS",19,Specialist,Class2,Software Engineering
186,Senior Technology Program Manager,Redica Systems,200,Function: Technical Management → Project Management,"Agile
Scrum
Project Management
Kanban",8,Lead,Class2,Technical Management
187,Full Stack Developer,The Famous,10,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","React.js
Node.js
JavaScript
AWS
Express.js",4,Junior,Class4,Software Engineering
188,Technical Project Manager,The Famous,10,"Function: IT Operations and Support → IT Management / IT Support, Mobile Development, Project Management","Agile
Scrum
Project Management
IT Support
Customer Service",4,Junior,Class4,IT Operations and Support
189,Test Automation Engineer,The Famous,10,"Function: IT Operations and Support → DevOps / Cloud, Engineering Management, QA / SDET","CI - CD
Selenium
AWS
Automation Testing
Python",8,Lead,Class4,IT Operations and Support
190,Business Development Manager,Aasaanjobs,500,"Function: IT Operations and Support → Database Admin / Development, Sales / Business Development","Quality Assurance
Insurance Operations
Sales Recruitment
Sales Forecasting
Insurance Broking",6,Senior,Class3,IT Operations and Support
191,Customer Support Executive,Aasaanjobs,500,"Function: Sales and Business → Customer Service, General Management / Strategy, Sales / Business Development","Customer Service
Customer Relationship
Customer Interaction
Telecalling
Quality Assurance",2,Fresher,Class3,Sales and Business
192,.NET Fullstack Developer,Axi,200,Function: Software Engineering → Full-Stack Development,".NET
C#
JavaScript
Azure
VB.NET",13,Lead,Class2,Software Engineering
193,Area Sales Manager,Enlite Research,50,Function: Sales and Business → Sales / Business Development,Sales,5,Senior,Class4,Sales and Business
194,Manager / Sr. Manager - Integrations & IT Project,HDFC ERGO,1000,Function: Software Engineering → Other Software Development,"Apigee
Azure API Management
API Testing
Google APIs",10,Lead,Class1,Software Engineering
195,Business Development Executive,iThrive - Healing & Beyond,50,Function: Sales and Business → Sales / Business Development,"Sales
Business Development
Direct Sales
Lead Generation",3,Junior,Class4,Sales and Business
196,Senior Software Engineer,Lendingkart,500,Function: Software Engineering → Backend Development,"Java
Data Structures
Spring Boot
LLD
Microservices",7,Senior,Class3,Software Engineering
197,Senior DevOps Engineer,Money View,500,Function: IT Operations and Support → DevOps / Cloud,"AWS
DevOps
Linux
Shell Scripting
CI - CD",10,Lead,Class3,IT Operations and Support
198,Fullstack Developer,Wipro,1000,"Function: Software Engineering → Frontend Development, Full-Stack Development","React.js
Spring Boot
Microservices
JavaScript
Kafka",9,Lead,Class1,Software Engineering
199,Functional Consultant,Zetwerk,1000,Function: IT Operations and Support → Functional / Technical Consulting,"ERP Implementation
Digital Transformation
CRM",10,Lead,Class1,IT Operations and Support
200,Product Owner,7-Eleven,1000,Function: Technical Management → Product Management,"Jira
Agile
Confluence
Scrum",9,Lead,Class1,Technical Management
201,Area Sales Manager - MMR,Enlite Research,50,Function: Sales and Business → Sales / Business Development,Sales,5,Senior,Class4,Sales and Business
202,Mobile Developer,EY,1000,Function: Software Engineering → Mobile Development,"React Native
iOS
Android",10,Lead,Class1,Software Engineering
203,Business Development Executive,InnovationM,200,Function: Sales and Business → Sales / Business Development,"Business Development
Sales
Telecalling",5,Senior,Class2,Sales and Business
204,Infrastructure Engineer 2,PhysicsWallah,1000,Function: IT Operations and Support → DevOps / Cloud,"Docker
AWS
Python
Kubernetes
CI - CD",5,Senior,Class1,IT Operations and Support
205,Infrastructure Engineer 2,PhysicsWallah,1000,Function: IT Operations and Support → DevOps / Cloud,"Golang
Kubernetes
AWS
Docker
Python",5,Senior,Class1,IT Operations and Support
206,Infrastructure Engineer 3,PhysicsWallah,1000,Function: IT Operations and Support → DevOps / Cloud,"Docker
AWS
Python
Kubernetes
CI - CD",8,Lead,Class1,IT Operations and Support
207,Sr. / Lead DevOps Engineer,Sequoia Consulting Group,500,Function: IT Operations and Support → DevOps / Cloud,"CI - CD
Linux
AWS
Azure
Chef
Jenkins
Puppet",11,Lead,Class3,IT Operations and Support
208,HR Manager,vCommission,200,Function: Human Resources → HR Generalist,"Employee Benefits
Employee Engagement
Learning and Development
Recruitment
Talent Management",3,Junior,Class2,Human Resources
209,Engineering Manager,Verizon Communications,1000,Function: Software Engineering → Backend Development,"Java
Microservices
Spring Boot",12,Lead,Class1,Software Engineering
210,Digital Marketing & SEO Specialist,CouponDunia,200,Function: Marketing → SEO / SEM,"Google Ads
SEM
SEO",6,Senior,Class2,Marketing
211,Digital Analyst,Lenskart.com,1000,Function: Data Science and Analysis → Data Analysis / Business Intelligence,"Google Analytics
BigQuery
SQL
Data Analysis
Digital Marketing",6,Senior,Class1,Data Science and Analysis
212,Data Engineer,Mensa Brands,50,Function: Software Engineering → Big Data / DWH / ETL,"Python
SQL
ETL
pandas
PySpark",6,Senior,Class4,Software Engineering
213,Financial Planning Analysis (FPA),PhysicsWallah,1000,Function: Operations → Accounting / Finance,"Chartered Accountant
Financial Planning
Financial Reporting
Financial Analysis",5,Senior,Class1,Operations
214,Account Executive,Prodt Consulting Services,10,Function: Operations → Accounting / Finance,"Accounting
Finance
Taxation
Budgeting
GST
Income Tax
Payroll Management
Tally",2,Fresher,Class4,Operations
215,Graphic Designer,Prototyze,200,Function: Design and Creative → Graphic Design / Animation,"Graphic Design
Illustrator
InDesign
Photoshop",6,Senior,Class2,Design and Creative
217,Senior Data Engineer,Walmart Global Tech India,1000,Function: Software Engineering → Big Data / DWH / ETL,"Data Analysis
Data Streaming
Data Warehousing
Hadoop
Hive
Kafka
Spark
SQL",9,Lead,Class1,Software Engineering
218,Fullstack Developer,Wipro,1000,Function: Software Engineering → Full-Stack Development,"Java
React.js
Microservices
Spring",10,Lead,Class1,Software Engineering
219,Mobile Application Developer,Ziroh Labs,10,Function: Software Engineering → Mobile Development,"Swift
iOS
Android
React Native",9,Lead,Class4,Software Engineering
220,Senior Software Engineer,ANSR,200,Function: Software Engineering → Frontend Development,"React.js
TypeScript
Azure
AWS
DevOps",12,Lead,Class2,Software Engineering
221,Adobe Analytics Developer,Awign,500,Function: Software Engineering → Other Software Development,Adobe Experience Manager (AEM),6,Senior,Class3,Software Engineering
222,React Native Developer,GlobalLogic,1000,Function: Software Engineering → Frontend Development,"React Native
React.js
Redux
JavaScript
SQLite",9,Lead,Class1,Software Engineering
223,Android Developer,Greenlight Planet India,1000,Function: Software Engineering → Mobile Development,"Android
Kotlin
Java
RxJava",4,Junior,Class1,Software Engineering
224,Inside Sales Executive,HCL Technologies,1000,"Function: IT Operations and Support → IT Management / IT Support, PR / Communications, Sales / Business Development","Sales
IT Support
IT Consulting
Business Development
CRM",6,Senior,Class1,IT Operations and Support
225,Digital Analytics,Lenskart.com,1000,"Function: Data Science and Analysis → Data Analysis / Business Intelligence, Functional / Technical Consulting, Project Management","SQL
Power BI
Google Analytics
BigQuery
Tableau",5,Senior,Class1,Data Science and Analysis
226,SDE 4,Mystifly,500,Function: Software Engineering → Backend Development,"Java
Spring",11,Lead,Class3,Software Engineering
227,International Voice Process,Refactor Academy,50,Function: Sales and Business → Customer Service,"Customer Interaction
Customer Relationship
Customer Service
Key Account Management",0,Fresher,Class4,Sales and Business
228,Dotnet Developer,TEK Soft Labs,50,Function: Software Engineering → Backend Development,"C#
.NET
ASP.NET",8,Lead,Class4,Software Engineering
229,UI Developer - Angular,XenonStack,200,Function: Software Engineering → Frontend Development,"CSS
HTML
JavaScript
Angular
React.js",3,Junior,Class2,Software Engineering
230,SQL Database Administrator,7-Eleven,1000,Function: IT Operations and Support → Database Admin / Development,"SQL Server
Azure
Data Migration
SSIS
Database Administration",5,Senior,Class1,IT Operations and Support
231,Lead - Cyber Risk Analyst,Amagi Corporation,500,Function: IT Operations and Support → IT Security,"Application Security
Cloud Security
Information Security
Network Security
Vulnerability Assessment",8,Lead,Class3,IT Operations and Support
232,Product Manager,CareFi,10,Function: Technical Management → Product Management,"Product Management
Loans
Product Lifecycle Management",5,Senior,Class4,Technical Management
233,Salesforce Developer,Horizontal Digital,500,Function: Software Engineering → Other Software Development,"Salesforce
Quality Assurance
Salesforce Service Cloud",6,Senior,Class3,Software Engineering
234,Information Security Analyst - IT Risk,InMobi,1000,Function: IT Operations and Support → IT Security,Information Security,4,Junior,Class1,IT Operations and Support
236,0365 Developer,Nab,1000,Function: Software Engineering → Other Software Development,"SharePoint Framework
Canvas
Microsoft Office
Microsoft Dynamics
Microsoft Power Apps",8,Lead,Class1,Software Engineering
237,Lead Engineer,Nykaa,500,Function: Software Engineering → Backend Development,"Python
Django",7,Senior,Class3,Software Engineering
238,Sr. DevOps Engineer,Symphony Technology Group,50,Function: IT Operations and Support → DevOps / Cloud,"Azure DevOps Server
Azure
DevOps
PowerShell
Terraform",8,Lead,Class4,IT Operations and Support
239,Full Stack Developer,Verizon Communications,1000,Function: Software Engineering → Full-Stack Development,"React.js
Microservices
Spring Boot
Java",6,Senior,Class1,Software Engineering
240,SWE II - QA Automation Engr,7-Eleven Global Solution Center,500,Function: Software Engineering → QA / SDET,"Appium
REST Assured
Selenium
Manual Testing
Automation Testing",7,Senior,Class3,Software Engineering
241,Business Development Associate,BYJU'S,1000,Function: Sales and Business → Sales / Business Development,"Business Development
Direct Sales
Sales",0,Fresher,Class1,Sales and Business
242,Sales Trainee,Futops Technologies India,50,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
International Sales
Sales",1,Fresher,Class4,Sales and Business
243,Wordpress Developer,Growth99,50,Function: Software Engineering → Full-Stack Development,"Elementor
PHP
Wordpress",6,Senior,Class4,Software Engineering
244,SQL DBA,Planview,1000,Function: IT Operations and Support → Database Admin / Development,"SQL
Azure SQL Database
Windows
SQL Server
Python",12,Lead,Class1,IT Operations and Support
245,Senior Product Designer,Proxgy,50,Function: Design and Creative → Graphic Design / Animation,"Graphic Design
UX Design",8,Lead,Class4,Design and Creative
246,QA Engineer,Redica Systems,200,Function: Software Engineering → QA / SDET,"Java
Selenium
REST Assured
SDET
Automation Testing",6,Senior,Class2,Software Engineering
247,Sales Development Executive,SignalX,10,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Sales",5,Senior,Class4,Sales and Business
248,Product Development (Non - Health),UloApp,50,Function: Technical Management → Product Management,Product Management,4,Junior,Class4,Technical Management
249,Sr. Java Developer,Verint,1000,Function: Software Engineering → Backend Development,"Java
AWS
Kubernetes
Spring Boot
Microservices",7,Senior,Class1,Software Engineering
250,QA SE 3,7-Eleven Global Solution Center,500,Function: Software Engineering → QA / SDET,"Automation Testing
Appium
REST Assured
Manual Testing
Selenium",10,Lead,Class3,Software Engineering
251,Senior Software Engineer - Java - R4,Blu Smart,50,"Function: Software Engineering → Backend Development, Other Software Development","Java
Spring Boot
AWS
MongoDB
Redis",5,Senior,Class4,Software Engineering
252,Senior Data Integration Consultant,GainInsights Solutions,200,Function: Data Science and Analysis → Data Science / Machine Learning,"Python
AWS Glue
ETL
CI - CD
Talend",8,Lead,Class2,Data Science and Analysis
253,Lead Software Engineer,Headout,200,Function: Software Engineering → Mobile Development,"Android
Hybrid Apps
React Native
iOS",8,Lead,Class2,Software Engineering
254,Inside Sales Councelor,Palle Consulting,500,Function: Sales and Business → Sales / Business Development,"Sales
Corporate Sales
Counselling
Business Development",3,Junior,Class3,Sales and Business
255,DevOps Engineer,PhysicsWallah,1000,Function: IT Operations and Support → DevOps / Cloud,"Docker
Kubernetes
AWS
MySQL
Python",5,Senior,Class1,IT Operations and Support
256,Data Engineer - 3,Proxgy,50,"Function: Software Engineering → Backend Development, Big Data / DWH / ETL, Data Science / Machine Learning","Python
Spark
Hive
PySpark
Airflow",10,Lead,Class4,Software Engineering
257,Mobile Researcher,Shield,200,Function: Software Engineering → Mobile Development,"Android
Mobile Device Management",8,Lead,Class2,Software Engineering
258,Front End Developer,Wipro,1000,Function: Software Engineering → Frontend Development,"React.js
Microservices
Spring Boot
Kafka",10,Lead,Class1,Software Engineering
259,Senior Software Engineer,Xperium,50,"Function: Software Engineering → Backend Development, Full-Stack Development","Python
Django
Flask",7,Senior,Class4,Software Engineering
260,Research Manager,Avataar,500,Function: Design and Creative → Graphic Design / Animation,"Computer Vision
Python
Neural Networks
PyTorch
Graphic Design",12,Lead,Class3,Design and Creative
261,Sr. Software Development Engineer,Avis Budget Group,1000,Function: Software Engineering → Backend Development,"Java
Kafka
AWS
Microservices
Spring Boot",8,Lead,Class1,Software Engineering
262,Lead Shopify Developer,Foxtale,50,Function: Software Engineering → Full-Stack Development,"Shopify
JavaScript
jQuery",7,Senior,Class4,Software Engineering
263,Business Development Specialist,HOM,500,Function: Sales and Business → Sales / Business Development,"Business Development
International Sales
Telecalling
Direct Sales
Sales",3,Junior,Class3,Sales and Business
264,SailPoint Developer,Macquarie,1000,Function: Software Engineering → Backend Development,"SailPoint
Java
Identity Access Management (IAM)",9,Lead,Class1,Software Engineering
265,T24 - Testing COE - Tester,MUFG,1000,Function: Software Engineering → QA / SDET,"Temenos
Jira
Architecture
Loans
Foreign Exchange",5,Senior,Class1,Software Engineering
266,Head of DevOps,Sprinklr,1000,Function: IT Operations and Support → DevOps / Cloud,"AWS
Kubernetes
Docker
DevOps
Ansible",14,Lead,Class1,IT Operations and Support
267,General Manager - Probiotics,Starhi Herbs,500,"Function: Sales and Business → General Management / Strategy, Project Management","Microbiology
Project Management
Vendor Management
Procurement
Production Management",12,Lead,Class3,Sales and Business
268,MQ Admin,Verizon Communications,1000,"Function: IT Operations and Support → Database Admin / Development, Systems Administration","IBM MQ
Kafka
RabbitMQ",6,Senior,Class1,IT Operations and Support
269,Software Developer,Wipro,1000,Function: Software Engineering → Full-Stack Development,"Java
Kafka
Microservices
Spring Boot
JavaScript
React.js",10,Lead,Class1,Software Engineering
270,Sales Executive Trainer,Aakash Educational Services,1000,Function: Sales and Business → General Management / Strategy,Business Development,10,Lead,Class1,Sales and Business
271,Backend Developer - SS24,Blu Smart,50,"Function: Software Engineering → Backend Development, Other Software Development","Java
Spring
Redis
Microservices
MongoDB",5,Senior,Class4,Software Engineering
272,Backend Developer - SS24,Blu Smart,50,"Function: Software Engineering → Backend Development, Other Software Development","Java
Spring
Microservices
Redis
MongoDB",6,Senior,Class4,Software Engineering
273,Java Developer,Enlighted,500,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","Java
AWS
Spring
SQL
Hibernate",7,Senior,Class3,Software Engineering
274,Senior Software Engineer,Lendingkart,500,Function: Software Engineering → Backend Development,"Java
Spring Boot
LLD
Data Structures",7,Senior,Class3,Software Engineering
275,Data Engineer,Prophecy,50,Function: Software Engineering → Big Data / DWH / ETL,"Spark
Scala
Python
Big Data
Architecture",11,Lead,Class4,Software Engineering
276,Senior React.js Developer,Recrosoft Technologies,500,Function: Software Engineering → Frontend Development,"React.js
Redux
JavaScript
HTML
TypeScript",8,Lead,Class3,Software Engineering
277,Senior QA Engineer,Redica Systems,200,Function: Software Engineering → QA / SDET,"Automation Testing
Python
Database Testing",8,Lead,Class2,Software Engineering
278,Sr. Technical Content Writer / Information Architect,Sequoia Consulting Group,500,Function: Marketing → Content Writing,"Content Marketing
Content Writing
English Content",11,Lead,Class3,Marketing
279,Lead - Data Science,V-Mart Retail,1000,Function: Data Science and Analysis → Data Science / Machine Learning,"Machine Learning
Python
R",6,Senior,Class1,Data Science and Analysis
286,Lead. Software Engineer,Khoros,1000,Function: Software Engineering → Backend Development,"Java
Spring",12,Lead,Class1,Software Engineering
287,Sr. Manager - Digital Marketing,Nected,10,Function: Marketing → Online Marketing,"Digital Marketing
Social Media Marketing
Content Writing",11,Lead,Class4,Marketing
288,QA Engineer - Automation,VdoCipher Media Solutions,10,Function: Software Engineering → QA / SDET,"Automation Testing
API Testing
JavaScript
TypeScript
Swagger",5,Senior,Class4,Software Engineering
289,AUTOSAR Integration Engineer,Wipro,1000,"Function: Software Engineering → Embedded / Kernel Development, QA / SDET","AUTOSAR
Embedded C",8,Lead,Class1,Software Engineering
290,Azure DevOps SE 2,7-Eleven,1000,Function: IT Operations and Support → DevOps / Cloud,"Python
CI - CD
Azure
Docker
Kubernetes",7,Senior,Class1,IT Operations and Support
291,Admission Counsellor,Aasaanjobs,500,"Function: Sales and Business → Customer Service, General Management / Strategy, Sales / Business Development","Customer Relationship
Customer Interaction
Customer Service
Telecalling
Key Account Management",3,Junior,Class3,Sales and Business
292,Business Development Manager,Aasaanjobs,500,"Function: Sales and Business → General Management / Strategy, Operations Management, Sales / Business Development","Business Development
Operations Management
Process Improvement
Sales
Direct Sales",6,Senior,Class3,Sales and Business
293,Associate Software Engineer,Cedcoss Technologies,200,Function: Software Engineering → Backend Development,"C
C++
Java
Node.js
PHP
Python
Laravel
Magento",2,Fresher,Class2,Software Engineering
294,Sales & Partner Engagement,Cloudologic,200,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Direct Sales
Sales",2,Fresher,Class2,Sales and Business
295,Junior DevOps Engineer,CreditVidya,200,Function: IT Operations and Support → DevOps / Cloud,"AWS
DevOps
Docker
Kubernetes
Jenkins",6,Senior,Class2,IT Operations and Support
296,Sr. Fullstack Developer,DAZN,1000,Function: Software Engineering → Full-Stack Development,"React.js
Node.js
AWS
HTML
Git",8,Lead,Class1,Software Engineering
297,Head of City,Onsurity,50,Function: Sales and Business → Sales / Business Development,"Mergers and Acquisitions
Sales
Business Development
Corporate Sales
Direct Sales",13,Lead,Class4,Sales and Business
298,Fullstack Engineer,SigTech,200,Function: Software Engineering → Full-Stack Development,"Python
React.js
Node.js
Django
AWS",6,Senior,Class2,Software Engineering
299,Test Engineer - HIL,Wipro,1000,Function: Software Engineering → QA / SDET,"HIL Testing
Python
CI - CD",9,Lead,Class1,Software Engineering
300,Azure DevOps SE 2,7-Eleven,1000,Function: IT Operations and Support → DevOps / Cloud,"Python
CI - CD
Azure
Docker
Kubernetes",7,Senior,Class1,IT Operations and Support
301,Elite Manager,Aasaanjobs,500,"Function: Sales and Business → General Management / Strategy, Operations Management, Sales / Business Development","Leadership Recruitment
Business Development
Process Improvement
Employee Induction
Operations Management",8,Lead,Class3,Sales and Business
302,Head of Teacher,Aasaanjobs,500,Function: Operations → Operations Management,"Teaching
Creative Direction",6,Senior,Class3,Operations
304,Staff Engineer,Devtron Labs,50,Function: Software Engineering → Backend Development,"Java
Golang
Data Structures
Algorithms
Distributed Systems",12,Lead,Class4,Software Engineering
305,Legal Executive,Lendingkart,500,Function: Operations → Accounting / Finance,"Legal Compliance
Legal Drafting
Payment Collection
Law",0,Fresher,Class3,Operations
306,Software Engineer / Senior Software Engineer,Storable,1000,Function: Software Engineering → Backend Development,Ruby on Rails,8,Lead,Class1,Software Engineering
307,QA Engineer,VIDA Digital Identity,50,Function: Software Engineering → QA / SDET,"Java
Selenium
Appium
SQL
Spring Boot",6,Senior,Class4,Software Engineering
308,QA Engineer,VIDA Digital Identity,50,Function: Software Engineering → QA / SDET,"Selenium
Mobile Apps Testing
Java
Appium
Automation Testing",6,Senior,Class4,Software Engineering
309,Software Engineer,Wipro,1000,Function: Software Engineering → Backend Development,"Java
MongoDB
Kafka
Microservices
Spring",10,Lead,Class1,Software Engineering
318,Software Engineer,upGrad,200,Function: Software Engineering → Frontend Development,"React.js
JavaScript
CSS
HTML",3,Junior,Class2,Software Engineering
319,Procurement Executive,Zydus Group,1000,Function: Operations → Operations Management,"Supply Chain Management
Procurement
Indirect Procurement",14,Lead,Class1,Operations
320,Apigee Engineer,Altimetrik,1000,Function: Software Engineering → Backend Development,"Apigee
Swagger
REST Assured
Microservices",7,Senior,Class1,Software Engineering
321,Digital Content Associate,Amazon Entertainment,1000,Function: Sales and Business → Customer Service,Customer Relationship,2,Fresher,Class1,Sales and Business
322,Product Designer,Cars24,1000,Function: Design and Creative → Other Design,"Industrial Design
Instructional Design",7,Senior,Class1,Design and Creative
323,DevOps Engineer,GoKiwi,50,Function: IT Operations and Support → DevOps / Cloud,"Kubernetes
Helm
Docker
Linux
AWS",5,Senior,Class4,IT Operations and Support
