,designation,company_name,Number_of_Employees,job_description,skills,Years_of_Experience,Category,company_class,Department
324,Software Engineer - Angles,insightsoftware,1000,Function: Software Engineering → Full-Stack Development,".NET
JavaScript
ASP.NET
C#
jQuery
React.js",5,Senior,Class1,Software Engineering
325,Elite Manager,Max Life Insurance,1000,Function: Sales and Business → Sales / Business Development,"Sales Operations
Recruitment
Business Development
Operations Management
Employee Engagement",5,Senior,Class1,Sales and Business
326,Data Engineer,PearlArc Systems,50,Function: Software Engineering → Big Data / DWH / ETL,"Azure
Databricks
Power BI
ETL
Azure Data Factory",8,Lead,Class4,Software Engineering
327,Software Developer - Core,PhonePe,1000,Function: Software Engineering → Backend Development,"Java
Algorithms
Data Structures
Elasticsearch
Microservices",11,Lead,Class1,Software Engineering
328,Staff SE (Frontend Lead),Redica Systems,200,Function: Software Engineering → Frontend Development,"JavaScript
React.js
HTML
CSS",13,Lead,Class2,Software Engineering
329,Network Security,Tata Consultancy Services,1000,"Function: IT Operations and Support → IT Management / IT Support, Network Administration","Palo Alto
Network Administration
Cisco ASA
VPN
Routing",6,Senior,Class1,IT Operations and Support
331,Lead Meanstack Developer,EPAM Systems,1000,Function: Software Engineering → Full-Stack Development,"JavaScript
Angular
Node.js",11,Lead,Class1,Software Engineering
332,Senior Software Engineer - Front End,Incedo,1000,Function: Software Engineering → Frontend Development,"React.js
Node.js
JavaScript
Redux
CI - CD",5,Senior,Class1,Software Engineering
333,Senior Software Engineer - Full Stack,Incedo,1000,Function: Software Engineering → Backend Development,"Java
React.js
SQL
NoSQL
CI - CD",6,Senior,Class1,Software Engineering
334,QA Engineer,LogiNext,200,Function: Software Engineering → QA / SDET,"Selenium
Java
Automation Testing
Mobile Apps Testing
Performance Testing",2,Fresher,Class2,Software Engineering
335,SDE 4,Mystifly,500,Function: Software Engineering → Backend Development,"Java
Distributed Systems
Python
.NET
Architecture",10,Lead,Class3,Software Engineering
336,Python Developer (Junior),Nuage BizTech,200,Function: Software Engineering → Backend Development,"Python
Flask
Django",4,Junior,Class2,Software Engineering
337,Staff SE (Frontend Lead),Redica Systems,200,Function: Software Engineering → Frontend Development,"JavaScript
React.js
HTML
CSS",13,Lead,Class2,Software Engineering
338,Frontend Developer,Wokelo AI,10,"Function: Software Engineering → Frontend Development, Full-Stack Development, Other Software Development","React.js
Redux
JavaScript
Angular
TypeScript",5,Senior,Class4,Software Engineering
339,Technical Project Manager,Zinier,500,"Function: IT Operations and Support → Functional / Technical Consulting, Other Software Development, Project Management","Project Management
PMP
Technical Consulting
Customer Service
CRM",15,Lead,Class3,IT Operations and Support
340,Business Analyst,Nuage BizTech,200,Function: Data Science and Analysis → Data Analysis / Business Intelligence,"Business Analysis
SQL
Data Analysis
Microsoft Excel
Tableau",3,Junior,Class2,Data Science and Analysis
341,Python Developer,Nuage BizTech,200,Function: Software Engineering → Backend Development,"Python
Flask
Django",10,Lead,Class2,Software Engineering
342,Python Developer (Junior),Nuage BizTech,200,Function: Software Engineering → Backend Development,"Python
Flask
Django",4,Junior,Class2,Software Engineering
343,Sr. Sitecore Consultant,Nuage BizTech,200,"Function: Software Engineering → Frontend Development, Full-Stack Development, Other Software Development","Sitecore
.NET",9,Lead,Class2,Software Engineering
344,Technical Project Manager,Nuage BizTech,200,Function: Technical Management → Project Management,"Project Management
Agile
Python
Node.js
Angular",8,Lead,Class2,Technical Management
345,Business Analyst,World Compliance Technologies,200,Function: Data Science and Analysis → Data Analysis / Business Intelligence,"Business Analysis
SQL
Business Intelligence
Data Analysis
Microsoft Excel",13,Lead,Class2,Data Science and Analysis
346,SE - Full Stack,World Compliance Technologies,200,Function: Software Engineering → Full-Stack Development,"Java
JavaScript
Spring
Angular
React.js",5,Senior,Class2,Software Engineering
347,Technical Architect,World Compliance Technologies,200,"Function: Software Engineering → Backend Development, Solution Architecture / Presales","Java
Architecture
Spring
Angular
Microservices",15,Lead,Class2,Software Engineering
348,Technical Support Analyst,World Compliance Technologies,200,Function: IT Operations and Support → Technical / Production Support,"Technical Support
Customer Service
ITIL
SQL
Oracle Database",4,Junior,Class2,IT Operations and Support
349,UI - React.js Developer,World Compliance Technologies,200,Function: Software Engineering → Frontend Development,"JavaScript
React.js
Tailwind CSS
Bootstrap",7,Senior,Class2,Software Engineering
350,Social Media - Community Manager,Dibber,1000,Function: Marketing → Online Marketing,"Social Media Marketing
Community Management
Brand Management
SEO",11,Lead,Class1,Marketing
351,DevOps Architect,Embibe,1000,Function: IT Operations and Support → DevOps / Cloud,"CI - CD
Linux
Ansible
AWS
Azure
Docker
Google Cloud
Jenkins
Kubernetes
New Relic",12,Lead,Class1,IT Operations and Support
352,Sr. Frontend Developer,Goldcast,10,Function: Software Engineering → Frontend Development,"JavaScript
React.js
Vue.js
HTML
CSS",7,Senior,Class4,Software Engineering
353,Staff EM,Goldcast,10,Function: Software Engineering → Backend Development,"Python
Distributed Systems
Java
Engineering Management
Golang",15,Lead,Class4,Software Engineering
354,Staff Engineer / EM,Goldcast,10,Function: Software Engineering → Backend Development,"Python
Golang
Distributed Systems
Java
Node.js",12,Lead,Class4,Software Engineering
355,Staff Frontend Developer,Goldcast,10,Function: Software Engineering → Frontend Development,"JavaScript
React.js
Vue.js
CSS
HTML",13,Lead,Class4,Software Engineering
356,Lead DevOps Engineer,SenecaGlobal,500,Function: IT Operations and Support → DevOps / Cloud,"CI - CD
Linux
Ansible
AWS
Docker
Jenkins
Kubernetes",6,Senior,Class3,IT Operations and Support
357,Sales Manager,Sprouts.ai,10,"Function: Sales and Business → General Management / Strategy, Sales / Business Development, Talent Acquisition","Sales
Recruitment
IT Recruitment
International Sales
Business Development",15,Lead,Class4,Sales and Business
358,SSE - Data Platform,Sundial,50,"Function: Software Engineering → Backend Development, Big Data / DWH / ETL","PySpark
Spark
Azure Data Lake
Data Streaming
Python",10,Lead,Class4,Software Engineering
359,SSE - Full Stack,World Compliance Technologies,200,Function: Software Engineering → Full-Stack Development,"Java
JavaScript
Spring
React.js
Angular",10,Lead,Class2,Software Engineering
360,Lead Fullstack Developer,7-Eleven,1000,Function: Software Engineering → Full-Stack Development,"Java
JavaScript
React.js
Angular",13,Lead,Class1,Software Engineering
361,Dot .NET Developer,Aasaanjobs,500,Function: IT Operations and Support → DevOps / Cloud,"DevOps
.NET
JavaScript",8,Lead,Class3,IT Operations and Support
362,Graphic Designer - Creative Design Lead,Dibber,1000,"Function: Design and Creative → Graphic Design / Animation, Other Design, Photography / Videography","Graphic Design
Video Editing
3D Animation
Videography
Illustrator",12,Lead,Class1,Design and Creative
363,Data Engineer,Prophecy,50,Function: Data Science and Analysis → Data Science / Machine Learning,"Python
ETL
Big Data
Hadoop
Spark",12,Lead,Class4,Data Science and Analysis
364,Data Engineer,Prophecy,50,Function: Software Engineering → Big Data / DWH / ETL,"PySpark
Scala
Big Data
ETL",9,Lead,Class4,Software Engineering
365,Senior Software Engineer 2,Redica Systems,200,Function: Software Engineering → Backend Development,"Python
Django",9,Lead,Class2,Software Engineering
366,Senior Software Engineer I,Redica Systems,200,Function: Software Engineering → Backend Development,"Python
Django",5,Senior,Class2,Software Engineering
367,Staff Software Engineer (Lead Frontend),Redica Systems,200,Function: Software Engineering → Frontend Development,"React.js
JavaScript",12,Lead,Class2,Software Engineering
369,Senior IT Security Specialist,Swimlane,500,Function: IT Operations and Support → IT Security,"Network Security
Information Security
macOS
Ubuntu
Shell Scripting",12,Lead,Class3,IT Operations and Support
370,RFP Writer,12th Wonder,200,Function: Marketing → Content Writing,"Content Writing
English Content",5,Senior,Class2,Marketing
371,Admission Counsellor,Aasaanjobs,500,Function: Marketing → PR / Communications,"Interpretation
Public Relations
Corporate Communication",3,Junior,Class3,Marketing
372,Business Development Manager,Aasaanjobs,500,Function: Sales and Business → Sales / Business Development,Digital Marketing,6,Senior,Class3,Sales and Business
373,Full Stack Developer - Java,Aasaanjobs,500,Function: Software Engineering → Full-Stack Development,"JavaScript
Python
Java
HTML
CSS",9,Lead,Class3,Software Engineering
374,Full Stack Developer - Java,Aasaanjobs,500,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","Java
Angular
React.js
SQL
RDBMS",9,Lead,Class3,Software Engineering
375,Software Engineer (Java) - Backend Developer,Bluebik Global,10,Function: Software Engineering → Backend Development,".NET
Golang
Java
Node.js
Ruby
Scala
Hibernate
J2EE
Spring",5,Senior,Class4,Software Engineering
376,Software Engineer - Backend Developer,Bluebik Global,10,Function: Software Engineering → Backend Development,".NET
Big Data
Golang
Java
Node.js
Ruby
Express.js
Hibernate
J2EE
Spring
Struts",6,Senior,Class4,Software Engineering
377,Engineering Manager / Senior Engineering Manager,Essenvia,10,"Function: Software Engineering → Backend Development, Full-Stack Development","Python
JavaScript
CI - CD
RDBMS",10,Lead,Class4,Software Engineering
378,.NET Developer,iVoyant,200,"Function: Software Engineering → Backend Development, Full-Stack Development",".NET
Azure Cosmos DB
Docker",8,Lead,Class2,Software Engineering
379,Technical Architect,Mareana,200,"Function: Software Engineering → Backend Development, Engineering Management, Full-Stack Development","Python
Spark SQL
AWS
Azure",15,Lead,Class2,Software Engineering
380,Client Relationship Executive,Cambay Consulting,50,Function: IT Operations and Support → IT Management / IT Support,Networking,4,Junior,Class4,IT Operations and Support
381,Senior Technical Architect,CreditVidya,200,Function: Software Engineering → Backend Development,"Java
AWS
Python
C++",14,Lead,Class2,Software Engineering
382,Full Stack Developer - Java,EY,1000,Function: Software Engineering → Backend Development,"Angular
Java
.NET
AWS
Python",8,Lead,Class1,Software Engineering
385,Linux Admin,ProdEx Technologies,200,Function: IT Operations and Support → IT Security,Information Security,5,Senior,Class2,IT Operations and Support
386,Machine Learning Engineer,Tekion,200,Function: Data Science and Analysis → Data Science / Machine Learning,"Machine Learning
Python
AWS
Data Modelling
SQL",6,Senior,Class2,Data Science and Analysis
389,Sales & Partnerships Executive,YourStory Media,200,"Function: Sales and Business → General Management / Strategy, Operations Management, Sales / Business Development","Sales Operations
Customer Relationship
Key Account Management
Operations Management
Business Development",5,Senior,Class2,Sales and Business
390,Elite Manager,Aasaanjobs,500,Function: Sales and Business → Sales / Business Development,"Sales
Business Development",6,Senior,Class3,Sales and Business
391,Big Data Engineer,EY,1000,Function: Software Engineering → Backend Development,"PySpark
AWS
Hadoop
Kafka
SQL",10,Lead,Class1,Software Engineering
392,Full Stack Developer III [T500 - 7685,FedEx,1000,Function: Software Engineering → Full-Stack Development,"Java
Angular",9,Lead,Class1,Software Engineering
393,Xceptor Developer,Infosys,1000,Function: IT Operations and Support → Functional / Technical Consulting,"Xceptor
Robotic Process Automation",7,Senior,Class1,IT Operations and Support
394,PHP Developer,Sumedha Softech,50,Function: Software Engineering → Backend Development,"PHP
CodeIgniter
Laravel",3,Junior,Class4,Software Engineering
395,Software Engineer - Dot .NET,Symphony Technology Group,50,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","ASP.NET
Agile
SQL
.NET
WCS",6,Senior,Class4,Software Engineering
396,Business Development Executive,Think Future Technologies,200,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Direct Sales
International Sales
Sales
Telecalling",6,Senior,Class2,Sales and Business
397,Sr. Software Engineer - Frontend,Uber,1000,Function: Software Engineering → Frontend Development,"HTML
JavaScript
Angular
React.js
Vue.js",10,Lead,Class1,Software Engineering
398,SDET,Walmart Global Tech India,1000,Function: Software Engineering → QA / SDET,"Selenium
Java
REST Assured
Automation Testing
SDET",9,Lead,Class1,Software Engineering
399,Python Developer,Webority Technologies,50,Function: Software Engineering → Full-Stack Development,"Java
JavaScript
Python
Ruby
Django
Ember.js
Node.js
React.js",6,Senior,Class4,Software Engineering
403,Sr. webMethods Developer,Moback,200,"Function: Software Engineering → Backend Development, Other Software Development","webMethods
SOAP
JMS
CAF
Data Integration",8,Lead,Class2,Software Engineering
404,Senior Analyst - Surveillance MIS [T500 - 7536,Nab,1000,Function: IT Operations and Support → Systems Administration,Mainframes,9,Lead,Class1,IT Operations and Support
405,Full Stack Mern Developer,P2E Pro,200,Function: Software Engineering → Full-Stack Development,"Node.js
React.js
MongoDB
AWS
Blockchain",5,Senior,Class2,Software Engineering
406,Frontend Developer,Recrosoft Technologies,500,"Function: Software Engineering → Frontend Development, Full-Stack Development","React.js
JavaScript
TypeScript",8,Lead,Class3,Software Engineering
407,QA Automation,Redica Systems,200,Function: Software Engineering → QA / SDET,"Selenium
Automation Testing
SDET
Performance Testing
Java",8,Lead,Class2,Software Engineering
408,Engineering Lead,Wokelo AI,10,"Function: Software Engineering → Backend Development, Engineering Management, Full-Stack Development","Engineering Management
Data Structures
Payment Solutions
Python",10,Lead,Class4,Software Engineering
409,Solution Architect,XSEED Education,500,Function: IT Operations and Support → Solution Architecture / Presales,"Cloud Computing
Java
Solution Architecture
AWS
Azure
Google Cloud",6,Senior,Class3,IT Operations and Support
410,Business Development Manager,Blowhorn,500,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Direct Sales
Sales",6,Senior,Class3,Sales and Business
411,Business Development Manager,Blowhorn,500,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Sales",7,Senior,Class3,Sales and Business
412,React Native Developer,Deqode,500,Function: Software Engineering → Mobile Development,"Android
iOS",4,Junior,Class3,Software Engineering
413,SSE 1,Lendingkart,500,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","Java
Microservices
Multithreading
Spring Boot
Kafka",9,Lead,Class3,Software Engineering
414,Software Development Engineer,Listed,10,"Function: Software Engineering → Backend Development, Full-Stack Development","Java
Data Structures
Algorithms
Spring
MongoDB",5,Senior,Class4,Software Engineering
415,Ad Operations Analyst,Lokal,200,Function: Data Science and Analysis → Data Analysis / Business Intelligence,SQL,2,Fresher,Class2,Data Science and Analysis
416,SSE - II / Lead Software Engineer,MakeMyTrip,1000,Function: Software Engineering → Frontend Development,"CSS
HTML
JavaScript
Angular
jQuery
React.js
Vue.js",7,Senior,Class1,Software Engineering
418,IT Recruitment,Primathon,50,Function: Human Resources → Talent Acquisition,"IT Recruitment
Recruitment",4,Junior,Class4,Human Resources
419,SEO,Travelounce,200,Function: Marketing → SEO / SEM,"SEM
SEO",5,Senior,Class2,Marketing
420,Admission Counsellor,Aasaanjobs,500,"Function: IT Operations and Support → Functional / Technical Consulting, General Management / Strategy, Operations Management","Process Improvement
Quality Control
Logistics Management",3,Junior,Class3,IT Operations and Support
421,Digital Marketing Expert,Aasaanjobs,500,Function: Marketing → Online Marketing,"Digital Marketing
Content Marketing
Social Media Marketing
SEO
Creative Direction",5,Senior,Class3,Marketing
422,Social Media Consultant,Aasaanjobs,500,Function: Marketing → Online Marketing,"SEO
Social Media Marketing
Digital Marketing
Content Marketing
Marketing",5,Senior,Class3,Marketing
423,ServiceNow Developer,Capgemini,1000,Function: Software Engineering → Other Software Development,"ServiceNow
Asset Management
ITSM
Vulnerability Assessment
Operations Management",9,Lead,Class1,Software Engineering
424,ServiceNow Developer,Capgemini,1000,Function: Software Engineering → Other Software Development,"ServiceNow
ITSM
Asset Management
Operations Management
Vulnerability Assessment",9,Lead,Class1,Software Engineering
425,Senior Software Engineer - Infrastructure,insightsoftware,1000,Function: Software Engineering → Backend Development,".NET
ASP.NET
C#",8,Lead,Class1,Software Engineering
426,SSE 1,Lendingkart,500,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","Java
Microservices
Multithreading
Spring Boot
Kafka",9,Lead,Class3,Software Engineering
427,Sr. Content Writer,NxtWave,1000,Function: Marketing → Content Writing,"Content Writing
Copy Writing
SEO
Technical Writing",4,Junior,Class1,Marketing
428,Backend Developer,Smitch,200,Function: Software Engineering → Backend Development,"Node.js
SQL
AWS",7,Senior,Class2,Software Engineering
429,Full Stack Developer - React,Verizon Communications,1000,Function: Software Engineering → Full-Stack Development,"React.js
Microservices
Spring Boot
Java
Node.js",6,Senior,Class1,Software Engineering
430,Java Developer,Alchemy Techsol India,1000,Function: Software Engineering → Full-Stack Development,"Java
Spring Boot
React.js
SQL
HTML",11,Lead,Class1,Software Engineering
431,Digital Content Associate,Amazon Entertainment,1000,Function: Marketing → Content Writing,"Content Writing
English Content",2,Fresher,Class1,Marketing
432,QA Test Engineer,Awign,500,Function: Software Engineering → QA / SDET,"Automation Testing
Cucumber
Selenium",6,Senior,Class3,Software Engineering
433,Full Stack Developer,DAZN,1000,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","Node.js
React.js
Express.js
AWS
JavaScript",9,Lead,Class1,Software Engineering
434,Senior UX Designer,Head Digital Works,500,"Function: Design and Creative → Other Design, UX / Visual Design","Game Design
UX Design
Adobe After Effects
Illustrator
Photoshop",8,Lead,Class3,Design and Creative
435,UX Designer,Head Digital Works,500,"Function: Design and Creative → Other Design, UX / Visual Design","Game Design
Photoshop
UX Design
Adobe After Effects
Illustrator",15,Lead,Class3,Design and Creative
436,HR Operations,Leap Finance,200,Function: Human Resources → HR Generalist,"Compensation Management
Employee Benefits",9,Lead,Class2,Human Resources
437,Back End Developer - Java,Rakuten,1000,Function: Software Engineering → Backend Development,"Java
Spring",5,Senior,Class1,Software Engineering
438,Business Development Specialist,Surekha Technologies,200,Function: Sales and Business → Sales / Business Development,"Business Development
Direct Sales
International Sales
Sales",6,Senior,Class2,Sales and Business
439,Sales Consultant,Travelounce,200,Function: Sales and Business → Sales / Business Development,"Direct Sales
International Sales
Sales",5,Senior,Class2,Sales and Business
440,Social Media Consultant,Aasaanjobs,500,Function: Marketing → SEO / SEM,"Content Writing
SEO
Digital Marketing",2,Fresher,Class3,Marketing
441,Performance Tester,Alchemy Techsol India,1000,Function: Software Engineering → QA / SDET,"LoadRunner
Agile
Performance Center
Dynatrace
AppDynamics",11,Lead,Class1,Software Engineering
442,User Experience Dessigner,Alchemy Techsol India,1000,Function: Software Engineering → Frontend Development,"UX Design
Unity
3D Animation
Agile
Game Design",12,Lead,Class1,Software Engineering
443,Fullstack Developer,Axi,200,Function: Software Engineering → Full-Stack Development,".NET
ASP.NET
Angular
C#
SQL",12,Lead,Class2,Software Engineering
444,Business Development Executive,Brandsamosa,200,Function: Sales and Business → Sales / Business Development,"Market Research
Customer Relationship
Business Development
Strategic Planning
Customer Service",2,Fresher,Class2,Sales and Business
445,Backend Developer,Falcon,50,Function: Software Engineering → Backend Development,"Java
Hibernate
Spring",6,Senior,Class4,Software Engineering
446,Node.js Developer,Intellect Design Arena,1000,Function: Operations → Operations Management,Operations Management,7,Senior,Class1,Operations
447,Node.js Developer,Recrosoft Technologies,500,Function: Software Engineering → Backend Development,"Node.js
Express.js
Data Structures
JavaScript",9,Lead,Class3,Software Engineering
448,DevOps Engineer,Shield,200,Function: IT Operations and Support → DevOps / Cloud,"Kubernetes
AWS
Ansible
CI - CD
Terraform",10,Lead,Class2,IT Operations and Support
449,Sales Executive - Travel,WMTC,200,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Direct Sales
International Sales
Sales",8,Lead,Class2,Sales and Business
450,Senior Data Engineer,Accenture,1000,"Function: Software Engineering → Backend Development, Big Data / DWH / ETL","Snowflake
Database Testing",8,Lead,Class1,Software Engineering
451,Senior Data Engineer - Snowflake,Accenture,1000,"Function: Software Engineering → Backend Development, Big Data / DWH / ETL, Full-Stack Development","Snowflake
SQL
Database Testing",11,Lead,Class1,Software Engineering
452,Business Development Associate,BYJU'S,1000,Function: Sales and Business → Sales / Business Development,"Business Development
Sales",1,Fresher,Class1,Sales and Business
453,Fullstack Developer,DAZN,1000,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","Node.js
React.js
JavaScript",8,Lead,Class1,Software Engineering
454,Principle - Site Reliability Engineer,Digit88 Technologies,200,"Function: IT Operations and Support → DevOps / Cloud, Other Software Development","Kubernetes
Docker
Amazon DynamoDB
Cassandra
Ansible",13,Lead,Class2,IT Operations and Support
455,Account Executive,Emitrr,50,Function: Sales and Business → Sales / Business Development,"Business Development
EMEA
International Sales
SMB",7,Senior,Class4,Sales and Business
457,Operation Coordinator,Growthify Media,50,Function: Operations → Operations Management,Operations Management,0,Fresher,Class4,Operations
458,SRE / Site Reliability Engineer,PhonePe,1000,Function: IT Operations and Support → Technical / Production Support,"Linux
OpenShift
System Administration
OpenStack
Reliability Engineering",9,Lead,Class1,IT Operations and Support
459,Software Engineer,Wipro,1000,"Function: Software Engineering → Backend Development, Full-Stack Development","Java
Angular
Spring Boot
Microservices
JavaScript",10,Lead,Class1,Software Engineering
460,Retail HR,Aditya Birla Fashion and Retail,1000,Function: Human Resources → HR Generalist,"Employee Engagement
Talent Management
Employee Benefits
Compensation Management
Performance Management",12,Lead,Class1,Human Resources
461,Computer Vision Engineer,Bipp,50,Function: Data Science and Analysis → Data Science / Machine Learning,"Keras
Computer Vision
PyTorch
OpenCV
Machine Learning",6,Senior,Class4,Data Science and Analysis
462,Site Reliability Engineer,CRED,500,Function: IT Operations and Support → DevOps / Cloud,"CI - CD
AWS
Docker
Kubernetes
New Relic
OpenStack",7,Senior,Class3,IT Operations and Support
463,Account Executive,Emitrr,50,Function: Sales and Business → Sales / Business Development,"Business Development
EMEA
International Sales
SMB",7,Senior,Class4,Sales and Business
464,Senior Manager - HR,Epsilon,1000,Function: Sales and Business → General Management / Strategy,"Employee Engagement
Corporate Social Responsibility (CSR)
Wellness Coaching
Talent Management",14,Lead,Class1,Sales and Business
465,Senior Manager Engagement,Epsilon,1000,Function: Sales and Business → General Management / Strategy,"Corporate Social Responsibility (CSR)
Employee Engagement
Wellness Coaching
Program Management",15,Lead,Class1,Sales and Business
466,Scrum Master II (T500 - 7573),FedEx,1000,Function: Technical Management → Project Management,"Scrum
Agile",6,Senior,Class1,Technical Management
467,Principal Engineer,Mareana,200,"Function: Software Engineering → Backend Development, Engineering Management, Full-Stack Development","Python
AWS
Azure
Spark SQL",12,Lead,Class2,Software Engineering
468,Senior Full - Stack Engineer,Syren Technologies,200,Function: Software Engineering → Full-Stack Development,".NET
JavaScript
ASP.NET
C#
React.js",6,Senior,Class2,Software Engineering
469,Staff Engineer,Uber,1000,Function: Software Engineering → Backend Development,"C
C++
Golang
Java
Node.js
Python",14,Lead,Class1,Software Engineering
470,SEO Executive,Alpha Infolab,200,Function: Marketing → SEO / SEM,"Google Ads
SEO",4,Junior,Class2,Marketing
471,Wordpress Developer,Asentech,200,"Function: Software Engineering → Backend Development, Full-Stack Development","Wordpress
Git
Jira
PHP
jQuery",5,Senior,Class2,Software Engineering
472,Sr. AWS Data Engineer,Exponentia.ai,50,Function: Software Engineering → Big Data / DWH / ETL,"Data Analysis
Data Warehousing
ETL
Amazon Redshift
AWS Glue
Informatica
SQL",6,Senior,Class4,Software Engineering
473,Customer Support,Flipkart,1000,Function: Sales and Business → Customer Service,"Customer Service
Customer Relationship
BPO Operations",1,Fresher,Class1,Sales and Business
475,HRBP,Kasplo,200,"Function: Human Resources → HR Generalist, Talent Acquisition","HR Policies
HR Operations
Grievance Management
Recruitment",6,Senior,Class2,Human Resources
476,Machine Learning Engineer,Money View,500,Function: Data Science and Analysis → Data Science / Machine Learning,"Big Data
TensorFlow
Scikit-learn
NLP
Amazon SageMaker",9,Lead,Class3,Data Science and Analysis
477,Full Stack Developer (Mern Stack),MSD Technologies,50,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","Node.js
JavaScript
AWS
TypeScript
React.js",10,Lead,Class4,Software Engineering
478,Software Engineer,PricewaterhouseCoopers (PwC),1000,Function: Software Engineering → Backend Development,"Golang
Kafka",6,Senior,Class1,Software Engineering
479,Probiotic - General Manager,Starhi Herbs,500,Function: Technical Management → Project Management,"Microbiological Analysis
Vendor Management
Food Microbiology
Chemical Research
NPD",12,Lead,Class3,Technical Management
480,iOS Developer (SE2 / SSE),Allen Career Institute,1000,Function: Software Engineering → Mobile Development,"iOS
Swift
Objective-C
Xcode",7,Senior,Class1,Software Engineering
490,Regional Manager,Anudip Foundation,500,"Function: IT Operations and Support → Functional / Technical Consulting, Operations Management, Talent Acquisition","Operations Management
Recruitment
Learning and Development
Brand Management
Corporate Strategy",8,Lead,Class3,IT Operations and Support
491,Wordpress Developer,Engagedly Inc,200,Function: Software Engineering → Frontend Development,"CSS
HTML
JavaScript
jQuery",5,Senior,Class2,Software Engineering
493,Product Manager - Merchant Onboarding,Fincobox,50,Function: Technical Management → Product Management,"Product Management
Merchant Banking",5,Senior,Class4,Technical Management
494,MLOps Engineer,GlobalLogic,1000,"Function: Software Engineering → Backend Development, Data Science / Machine Learning","Machine Learning
DevOps
Google Cloud
CI - CD
Linux",11,Lead,Class1,Software Engineering
495,Senior Software Engineer - Retail Apps,Hy-Vee,1000,Function: Software Engineering → Mobile Development,"Android
Kotlin
Java
SQL
Git",8,Lead,Class1,Software Engineering
496,Technical Lead,JindalX,1000,"Function: Technical Management → Engineering Management, Full-Stack Development","Engineering Management
JavaScript
.NET
React.js",17,Specialist,Class1,Technical Management
497,Manual Testing,Patch Infotech,200,Function: Software Engineering → QA / SDET,"Manual Testing
SDET
Java",7,Senior,Class2,Software Engineering
498,Jamf Administrator,Team Computers,1000,Function: Software Engineering → Other Software Development,"Jamf
Salesforce
macOS",5,Senior,Class1,Software Engineering
499,Product Analyst,WeRize,200,Function: Technical Management → Product Management,"SQL
Microsoft Excel
Python",5,Senior,Class2,Technical Management
